Puesto,Nombre,Trofeos,Donaciones,Rol
#25,['NESWC390'],['5921'],['146'],['Colíder']
#26,['iAmDelta'],['5917'],['70'],['Líder']
#27,['marco'],['5914'],['1122'],['Veterano']
#28,['╥﹏╥☆Mathias☆╥﹏╥'],['5910'],['174'],['Miembro']
#29,['Maick'],['5842'],['346'],['Miembro']
#30,['•César7•'],['5825'],['99'],['Miembro']
#31,['ユウイ2'],['5823'],['0'],['Miembro']
#32,['GARY AE'],['5814'],['0'],['Colíder']
#33,['Notorious Diego'],['5813'],['0'],['Miembro']
#34,['FerchoA7'],['5807'],['72'],['Miembro']
#35,['⭐️Sebas49⭐️'],['5806'],['78'],['Colíder']
#36,['Nova I Perseo'],['5805'],['0'],['Miembro']
#37,['⛎SweetKing⛎'],['5743'],['10'],['Miembro']
#38,['Uttermann'],['5716'],['30'],['Miembro']
#39,['Crisz'],['5683'],['128'],['Miembro']
#40,['Muerte blanca'],['5646'],['238'],['Miembro']
#41,['BigJony'],['5609'],['611'],['Miembro']
#42,['Christian☄️'],['5606'],['40'],['Miembro']
#43,['⚔Trébol Loco⚔'],['5569'],['260'],['Colíder']
#44,['Yair.L'],['5522'],['466'],['Miembro']
#45,['Jp'],['5514'],['0'],['Miembro']
#46,['Grommash'],['5220'],['0'],['Miembro']
#1,['MOSBAH'],['6682'],['260'],['Colíder']
#2,['aMzaaaa7'],['6682'],['54'],['Colíder']
#3,['⭐️No One⭐️'],['6641'],['48'],['Colíder']
#4,['Abadii Gamer_Yt'],['6574'],['19'],['Colíder']
#5,['D M A R'],['6425'],['84'],['Colíder']
#6,['HaMza αℓzαняαηι'],['6350'],['104'],['Veterano']
#7,['Aliksa'],['6346'],['183'],['Colíder']
#8,['Thug Life'],['6343'],['59'],['Colíder']
#9,['THE HELL'],['6302'],['93'],['Colíder']
#10,['Bo_Da7im'],['6268'],['225'],['Colíder']
#11,['Assyrian'],['6250'],['122'],['Colíder']
#12,['RuiCosta10'],['6242'],['383'],['Colíder']
#13,['Dr. S3oud'],['6200'],['74'],['Colíder']
#14,['яєℓαx..`♧'],['6132'],['52'],['Colíder']
#15,['7moodxox'],['6122'],['81'],['Colíder']
#16,['༺࿅༼ＴＨＥ ＨＥＬＬ༽࿅༻'],['5984'],['218'],['Colíder']
#17,['AL7ALM'],['5859'],['64'],['Colíder']
#18,['naif'],['5818'],['923'],['Colíder']
#19,['LeGeNd_7moDe'],['5803'],['0'],['Colíder']
#20,['abdo'],['5801'],['40'],['Colíder']
#21,['Darth P.E.K.K.A'],['5767'],['30'],['Colíder']
#22,['UaeStar'],['5763'],['0'],['Colíder']
#23,['⭐️YOUSEF⭐️'],['5762'],['0'],['Colíder']
#24,['Turki'],['5762'],['374'],['Colíder']
#25,['ihab'],['5745'],['30'],['Colíder']
#26,['punisher'],['5619'],['1346'],['Líder']
#27,['sauddash'],['5592'],['1015'],['Colíder']
#28,['abofaris'],['5563'],['710'],['Colíder']
#29,['pride'],['5552'],['52'],['Colíder']
#30,['MoHaMaD'],['5535'],['60'],['Colíder']
#31,['FahadSR'],['5527'],['439'],['Colíder']
#32,['itz_PainZz'],['5506'],['0'],['Colíder']
#33,['ksa.2013'],['5501'],['0'],['Colíder']
#34,['Taha'],['5476'],['0'],['Veterano']
#35,['ASD'],['5459'],['49'],['Colíder']
#36,['SASKEI'],['5456'],['278'],['Colíder']
#37,['Faisal'],['5452'],['20'],['Colíder']
#38,['OMAR'],['5418'],['36'],['Colíder']
#39,['aMzaaaa7❕'],['5415'],['299'],['Colíder']
#40,['NG'],['5412'],['578'],['Colíder']
#41,['Abdullah-1999'],['5404'],['0'],['Colíder']
#42,['HUNTER'],['5392'],['390'],['Colíder']
#43,['x€xSAADx€x'],['5356'],['565'],['Colíder']
#44,['Tiger Tamim'],['5352'],['124'],['Colíder']
#45,['Vu'],['5286'],['109'],['Veterano']
#46,['am3mr'],['5259'],['157'],['Colíder']
#47,['Milin'],['5255'],['235'],['Veterano']
#48,['Ziyad'],['5249'],['17'],['Colíder']
#49,['Tiger'],['5220'],['68'],['Veterano']
#50,['MoHaMaD HeLaL'],['5182'],['87'],['Colíder']
#1,['Nova l Samuel'],['6770'],['0'],['Miembro']
#2,['alooo'],['6507'],['816'],['Veterano']
#3,['Ron™️'],['6405'],['48'],['Colíder']
#4,['TurboBeast YT'],['6322'],['0'],['Veterano']
#5,['Nova l ßįñ'],['6266'],['38'],['Miembro']
